"Label", "Distance", "Crow"
Label: 10m, Distance: 10.238831200141753, Crow: 10.180217499886542
Label: 3m, Distance: 3.1530175550105395, Crow: 2.9571411366731617
Label: 4m, Distance: 4.122126846810316, Crow: 3.9743041832746466
Label: 5m, Distance: 5.175061421810777, Crow: 5.058104854539314
Label: 6m, Distance: 6.183190270215474, Crow: 6.085639318731213
Label: 7m, Distance: 7.159483470775812, Crow: 7.075405823577335
Label: 8m, Distance: 8.138558133446008, Crow: 8.064694197021991
Label: 9m, Distance: 9.15587790012676, Crow: 9.090284050679031
