Label,Distance,Crow
10m,10.238831200141753,10.180217499886542
3m,3.1530175550105395,2.9571411366731617
4m,4.122126846810316,3.9743041832746466
5m,5.175061421810777,5.058104854539314
6m,6.183190270215474,6.085639318731213
7m,7.159483470775812,7.075405823577335
8m,8.138558133446008,8.064694197021991
9m,9.15587790012676,9.090284050679031
