Label,Distance,Crow
10m,9.963768116,9.903526598
3m,3.109260972,2.910441168
4m,4.116486358,3.968453595
5m,5.097741827,4.978969344
6m,6.046976512,5.947191685
7m,7.071061244,6.985919489
8m,7.971014493,7.895583325
9m,8.85668277,8.788856222
,,
Label,Distance,Crow
10m,9.96,9.90
3m,3.11,2.91
4m,4.12,3.97
5m,5.10,4.98
6m,6.05,5.95
7m,7.07,6.99
8m,7.97,7.90
9m,8.86,8.79
